vehicle_id,dealer_id,plate,year,month,max_date,monthly_score,total_penalties,total_km
199,VPKAK1,PB 9726 MD,2022,4,22:34.0,46,53.93,700.5
236,VWMPS1,AD 8620 A,2022,4,51:22.0,42,58.28,2156.5
235,VLNPN1,DM 8807 BA,2022,4,10:59.0,94,6.46,2235.7
357,VWDCM1,G7016OB,2022,4,52:28.0,93,3.59,7326.3
507,VSTIU1,MJEFM8JW1LJE13674,2022,4,57:25.0,95,5.13,1362.2
573,VWCKB1,MJEC1JG43L5188242,2022,4,33:56.0,87,12.84,463.5
263,VGIPS1,S 8050 NG,2022,4,41:04.0,57,43.46,2008.2
337,VWMPS1,AD 8230 A,2022,4,55:53.0,77,22.85,1631
362,VJHMM1,B9603TIS,2022,4,29:48.0,0,371.31,1326.8
446,VSPLR1,BE 9407 YV,2022,4,08:25.0,97,3.19,1964.3
492,VLNPI1,DB 8390 LI,2022,4,03:55.0,100,0,715.1
301,VGIPS1,L8651AC,2022,4,49:42.0,46,54.29,319.6
612,VLPMA1,DN9978DU,2022,4,42:28.0,0,253.42,788.6
389,VGIPM1,BK 9833 VW,2022,4,35:45.0,75,24.6,1629.4
444,VGIPA1,MJEFM8JK1LJE13456,2022,4,16:55.0,100,0,0
861,VGIPJ1,B 9062 JEH,2022,4,04:21.0,91,9.27,1947.9
986,VGIPS1,MJEFM8JK1LJE13475,2022,4,33:13.0,67,33.27,700.4
1245,VJBJI1,MJEC1JG41L5188475,2022,4,27:38.0,85,14.51,818.3
1299,VSPLR1,BE 9489 YV,2022,4,02:30.0,0,326.73,2907
1332,VSGRM1,BM 8609 AU,2022,4,52:59.0,100,0,0
1146,VKAAJ1,MJEFM8JN1LJE33144,2022,4,22:10.0,0,187.23,6308.6
1222,VSPLR1,BE 9483 YV,2022,4,33:18.0,100,0,55.1
1289,VJDMI1,B 9036 KXU,2022,4,09:47.0,94,5.82,485.7
1334,VJDMI1,B 9290 TIP,2022,4,30:00.0,100,0,700.8
1467,VSVBM1,BA 9453 QO,2022,4,46:25.0,99,1.21,1774.3
1482,VKKMB2,MJEC1JG43L5188528,2022,4,55:43.0,0,114.55,300.3
1490,VSGLM1,BD 8325 AW,2022,4,11:16.0,73,27.38,1519.5
1548,VWCKM1,MJEFM8JN1LJE33044,2022,4,15:59.0,3,97.14,2514.7
1556,VKABP1,D50 - KB 683 XX,2022,4,19:32.0,42,57.77,713.2
1707,VJARM1,B9968TXY,2022,4,18:28.0,84,15.73,742.3
1541,VGIPM1,BK 9316 EQ,2022,4,36:38.0,24,76.36,2066.7
1630,VJARM1,F 8860 SW,2022,4,13:16.0,36,64.12,2612.8
1666,VGIPS1,N 8422 AB,2022,4,28:38.0,46,53.3,1112.3
781,VKAMP1,KH 8528 DM,2022,4,42:16.0,0,168.49,5179.6
832,VJMGI1,D 9073 UC,2022,4,04:07.0,41,58.95,2021.6
860,VGIPS1,AG 8534 US,2022,4,33:17.0,100,0,0
885,VKABP1,D39 - KB 652 XX,2022,4,30:59.0,61,39.2,5060.4
928,VLKMS1,MJEFL8JT1LJE13821,2022,4,22:40.0,100,0,0
954,VLKMS1,MJEC1JG43L5188392,2022,4,59:05.0,85,14.65,4715.5
291,VSTIU1,MJEFM8JW1LJE13669,2022,4,53:22.0,100,0,2183
326,VGIPM1,BK 8895 EQ,2022,4,55:05.0,53,47.3,1264.5
427,VGIPA1,MJEFM8JK1LJE13460,2022,4,54:45.0,90,9.7,90.2
429,VGIPJ1,B 9316 UEA,2022,4,34:50.0,65,35.47,1354.3
496,VWCMC1,MJEC1JG43L5188226,2022,4,54:29.0,83,17.26,126
955,VJHMM1,B 9014 KHA,2022,4,16:03.0,0,208.03,13.7
995,VSPLR1,BE 8623 YX,2022,4,20:37.0,0,346.75,2483.4
1053,VGIPS1,MJEFG8JE1LJB13796,2022,4,03:36.0,0,166.66,0.3
1156,VGIPS1,L 9183 AF,2022,4,34:33.0,98,2.23,145.3
1216,VKPPK1,NBI 027 - MJEFM8JN1LJE331,2022,4,44:29.0,13,86.76,3922
542,VGIPS1,S8475JP,2022,4,29:03.0,76,24.12,506.9
671,VGIPS1,L 8628 AF,2022,4,13:55.0,48,51.97,93.8
1286,VSPLR1,BE 9486 YV,2022,4,06:13.0,100,0,0
1499,VGIPM1,BK 7533 YH,2022,4,25:44.0,0,316.52,564.5
678,VGIPS1,MJEC1JG43L5188296,2022,4,03:43.0,22,77.74,28.3
692,VJMGI1,Z 9827 TC,2022,4,45:47.0,69,31.39,2054.6
738,VGIST1,B 9023 PEJ,2022,4,35:42.0,0,146.27,410.9
833,VKABP1,D31 - KB 644 XX,2022,4,15:46.0,86,14.14,819.8
838,VPKAK1,PB9842SB,2022,4,52:57.0,37,62.67,498.7
850,VSJIM1,MJEC1JG43L5188318,2022,4,46:35.0,47,52.75,1441.9
613,VJDMI1,B 9571 SDD,2022,4,40:08.0,37,63.36,50.5
624,VJDMI1,MJEFM8JN1LJE33011,2022,4,59:47.0,0,134.77,4879.4
701,VSCLM1,BG 8579 JF,2022,4,35:18.0,90,10.31,2868.2
720,VWMPS1,AB 8013 WF,2022,4,58:06.0,67,33.16,931.9
775,VJDMI1,B 9642 TIS,2022,4,48:19.0,0,130.12,4323.4
